epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10303.8,0.62363,0.42844,0.9133,0.98308,0.97384,0.98826,0.9001,0.42098,0.24975,0.81556,0.005842,0.005842,0.005842
44,10566.4,0.6212,0.42617,0.91425,0.98353,0.97389,0.98843,0.90077,0.42017,0.24896,0.81527,0.005743,0.005743,0.005743
45,10833.7,0.61355,0.419,0.90952,0.98363,0.97412,0.98874,0.90123,0.41948,0.24828,0.81499,0.005644,0.005644,0.005644
46,11098.4,0.61154,0.41716,0.90926,0.98452,0.9739,0.98882,0.90175,0.41864,0.24751,0.81464,0.005545,0.005545,0.005545
47,11364.5,0.60622,0.4127,0.90764,0.98475,0.9741,0.98913,0.90247,0.41717,0.24648,0.81422,0.005446,0.005446,0.005446
48,11629.6,0.60293,0.40963,0.90576,0.98458,0.97426,0.98893,0.90252,0.41621,0.24583,0.8138,0.005347,0.005347,0.005347
49,11897.2,0.60007,0.40606,0.90562,0.98437,0.9753,0.98906,0.90342,0.4149,0.2452,0.81347,0.005248,0.005248,0.005248
50,12165.6,0.60118,0.40801,0.90499,0.98479,0.97484,0.98889,0.90369,0.41392,0.2444,0.81313,0.005149,0.005149,0.005149
51,12431.6,0.60008,0.40709,0.90626,0.98526,0.97489,0.98892,0.90349,0.41304,0.24399,0.81282,0.00505,0.00505,0.00505
52,12693.7,0.59063,0.4003,0.90348,0.98526,0.97578,0.989,0.90445,0.41174,0.24336,0.81248,0.004951,0.004951,0.004951
53,12954.1,0.59358,0.4018,0.90182,0.98586,0.97537,0.98903,0.90509,0.4105,0.2423,0.81212,0.004852,0.004852,0.004852
54,13273.3,0.59297,0.40313,0.90397,0.98616,0.97471,0.98907,0.9058,0.40916,0.24156,0.81177,0.004753,0.004753,0.004753
55,13516.7,0.58614,0.39722,0.90001,0.9865,0.97475,0.98905,0.90638,0.40882,0.24098,0.81154,0.004654,0.004654,0.004654
56,13761.7,0.58377,0.39482,0.89834,0.98744,0.9743,0.98937,0.90656,0.40862,0.24051,0.81129,0.004555,0.004555,0.004555
57,14015.3,0.57696,0.39069,0.89752,0.98686,0.97427,0.98915,0.90661,0.40858,0.23979,0.81113,0.004456,0.004456,0.004456
58,14265.5,0.57755,0.38939,0.89743,0.98729,0.97488,0.98913,0.90758,0.40789,0.23918,0.81078,0.004357,0.004357,0.004357
59,14515.3,0.5707,0.3841,0.89346,0.9876,0.97502,0.98922,0.90791,0.40745,0.23871,0.81057,0.004258,0.004258,0.004258
60,14765.9,0.57303,0.38529,0.89593,0.98784,0.97551,0.98926,0.90755,0.40728,0.23809,0.81039,0.004159,0.004159,0.004159
61,15020.3,0.56786,0.38265,0.89329,0.98802,0.97569,0.98954,0.90763,0.40672,0.23758,0.81014,0.00406,0.00406,0.00406
62,15277.4,0.56513,0.38063,0.89327,0.98798,0.97597,0.98963,0.90821,0.40613,0.23689,0.80988,0.003961,0.003961,0.003961
63,15533.6,0.56188,0.37739,0.89246,0.98754,0.97658,0.98946,0.90807,0.40534,0.23627,0.80963,0.003862,0.003862,0.003862
64,15783.3,0.55811,0.37366,0.88994,0.98799,0.97713,0.98949,0.90815,0.40601,0.23586,0.80957,0.003763,0.003763,0.003763
65,16029.5,0.5571,0.37271,0.88884,0.98691,0.97845,0.98968,0.90816,0.40643,0.23536,0.80943,0.003664,0.003664,0.003664
66,16275.9,0.55443,0.37096,0.88896,0.98692,0.97832,0.9897,0.90833,0.40641,0.23492,0.80913,0.003565,0.003565,0.003565
67,16526.8,0.55266,0.36913,0.88703,0.98666,0.97902,0.98983,0.90895,0.40561,0.23442,0.80887,0.003466,0.003466,0.003466
68,16777.1,0.5478,0.3646,0.88568,0.98642,0.97952,0.98989,0.90915,0.40522,0.23388,0.80856,0.003367,0.003367,0.003367
69,17023.5,0.54441,0.36506,0.88467,0.98673,0.97943,0.99001,0.90919,0.40565,0.23352,0.80844,0.003268,0.003268,0.003268
70,17291.1,0.54051,0.35987,0.88322,0.98676,0.98013,0.99015,0.90999,0.40427,0.23254,0.80806,0.003169,0.003169,0.003169
71,17542.5,0.53962,0.35967,0.88364,0.98731,0.98001,0.99031,0.91036,0.40311,0.23173,0.80777,0.00307,0.00307,0.00307
72,17791,0.53461,0.35698,0.88163,0.98724,0.98036,0.99043,0.91112,0.40188,0.23104,0.80742,0.002971,0.002971,0.002971
73,18073.1,0.53255,0.35447,0.88018,0.98757,0.98019,0.99048,0.91153,0.40129,0.23062,0.80715,0.002872,0.002872,0.002872
74,18321.5,0.52863,0.35146,0.87733,0.9874,0.98056,0.99067,0.91187,0.40024,0.23003,0.80676,0.002773,0.002773,0.002773
75,18572.7,0.52563,0.34985,0.87714,0.9877,0.98086,0.99075,0.91216,0.39939,0.22924,0.80645,0.002674,0.002674,0.002674
76,18824.1,0.52423,0.34772,0.877,0.98778,0.98109,0.99079,0.9129,0.39814,0.2286,0.80604,0.002575,0.002575,0.002575
77,19073.7,0.52314,0.34796,0.87682,0.98739,0.98164,0.99084,0.91363,0.39707,0.22802,0.80567,0.002476,0.002476,0.002476
78,19319.7,0.51949,0.3445,0.87576,0.98752,0.98194,0.99118,0.91346,0.39666,0.22742,0.8054,0.002377,0.002377,0.002377
79,19571.1,0.51428,0.34013,0.87563,0.98783,0.9814,0.99123,0.91408,0.39593,0.2268,0.80505,0.002278,0.002278,0.002278
80,19827.4,0.51028,0.33685,0.87157,0.98781,0.98163,0.99123,0.91496,0.39492,0.22627,0.80476,0.002179,0.002179,0.002179
81,20139.4,0.50551,0.33363,0.87107,0.98817,0.98123,0.99133,0.91569,0.39387,0.22568,0.80448,0.00208,0.00208,0.00208
82,20391.4,0.50421,0.33452,0.87162,0.98833,0.98116,0.99139,0.91574,0.39293,0.2251,0.80425,0.001981,0.001981,0.001981
83,20646.4,0.49938,0.32938,0.86826,0.98871,0.98111,0.99142,0.91667,0.39169,0.22445,0.80388,0.001882,0.001882,0.001882
84,20901.2,0.49571,0.32656,0.86733,0.98894,0.98129,0.99145,0.91744,0.39027,0.2236,0.8035,0.001783,0.001783,0.001783
85,21159.4,0.49279,0.32362,0.86713,0.98935,0.98139,0.9915,0.91814,0.38873,0.22269,0.80317,0.001684,0.001684,0.001684
86,21416.6,0.48814,0.32093,0.8668,0.98962,0.98118,0.99161,0.91927,0.38684,0.22175,0.80281,0.001585,0.001585,0.001585
87,21673.8,0.48514,0.31895,0.86453,0.98903,0.98151,0.99165,0.91999,0.38539,0.22121,0.80248,0.001486,0.001486,0.001486
88,21928.4,0.48459,0.31718,0.86531,0.98977,0.981,0.99173,0.92038,0.38381,0.22045,0.80214,0.001387,0.001387,0.001387
89,22179.2,0.47976,0.31409,0.8622,0.98894,0.98204,0.9918,0.92099,0.38248,0.21961,0.80187,0.001288,0.001288,0.001288
90,22433.1,0.47617,0.31152,0.86212,0.98928,0.9814,0.99186,0.9211,0.38188,0.21896,0.80161,0.001189,0.001189,0.001189
91,22685.5,0.38237,0.22896,0.81426,0.98903,0.9817,0.99183,0.92191,0.38076,0.21835,0.80137,0.00109,0.00109,0.00109
92,22929.4,0.37772,0.22636,0.81311,0.9895,0.98144,0.99188,0.92226,0.37972,0.21759,0.80113,0.000991,0.000991,0.000991
93,23176.1,0.37278,0.2229,0.81108,0.99001,0.98148,0.99226,0.92293,0.37873,0.21714,0.80089,0.000892,0.000892,0.000892
94,23397.9,0.36659,0.22008,0.81016,0.98959,0.98191,0.9923,0.92386,0.37746,0.21654,0.80061,0.000793,0.000793,0.000793
95,23617.2,0.35934,0.21581,0.80888,0.99099,0.98076,0.99236,0.92431,0.37622,0.21591,0.80037,0.000694,0.000694,0.000694
96,23835.3,0.35606,0.21338,0.80906,0.99118,0.98103,0.99243,0.92488,0.37473,0.21508,0.80014,0.000595,0.000595,0.000595
97,24054.9,0.35318,0.21106,0.80754,0.99115,0.98106,0.99243,0.9255,0.37325,0.21421,0.79989,0.000496,0.000496,0.000496
98,24274.8,0.34846,0.20818,0.80527,0.9914,0.98104,0.99248,0.92604,0.37195,0.21354,0.79957,0.000397,0.000397,0.000397
99,24493.4,0.34534,0.20714,0.80449,0.99162,0.98086,0.99228,0.92634,0.37085,0.21277,0.79921,0.000298,0.000298,0.000298
100,24712.7,0.33621,0.20174,0.80132,0.99175,0.98104,0.99213,0.92692,0.36991,0.21193,0.79887,0.000199,0.000199,0.000199
